Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career
Matric,Finance,"MS Office, Communication, SQL",Google Data Analytics,61,Sales Assistant
Bachelor's,Commerce,"MS Office, Marketing, SQL",Tally ERP,60,ML Engineer
Matric,Finance,"Machine Learning, Accounting",Mental Health Basics,69,Software Engineer
PhD,Business,"Data Analysis, Counseling",CFA Level 1,65,School Counselor
PhD,Arts,"Communication, Python, Accounting",Creative Writing,60,Data Entry Operator
PhD,Arts,"Accounting, Financial Analysis",Tally ERP,76,Business Analyst
Bachelor's,Business,"Data Analysis, Counseling, Accounting",Google Data Analytics,95,Professor
Bachelor's,Finance,"Marketing, Financial Analysis, Communication",Tally ERP,68,Financial Analyst
PhD,Computer Science,"Counseling, Machine Learning",Tally ERP,81,Software Engineer
PhD,Commerce,"Marketing, Machine Learning",Digital Marketing,91,Software Engineer
Master's,Finance,"Machine Learning, Marketing",Tally ERP,66,Marketing Executive
Intermediate,Psychology,MS Office,Mental Health Basics,81,Research Scientist
PhD,Business,"Counseling, Accounting, Financial Analysis",Mental Health Basics,69,ML Engineer
Master's,Computer Science,"SQL, Counseling, Marketing",Tally ERP,78,Marketing Executive
PhD,Computer Science,"SQL, MS Office, Marketing",Tally ERP,82,Software Engineer
Master's,Finance,Financial Analysis,Mental Health Basics,90,Junior Accountant
Master's,Engineering,Machine Learning,None,79,Marketing Executive
Bachelor's,Commerce,Counseling,CFA Level 1,80,Research Scientist
Master's,Commerce,"Python, Counseling, Marketing",Tally ERP,77,Data Entry Operator
Intermediate,Psychology,"Machine Learning, Financial Analysis, SQL",Digital Marketing,67,Junior Accountant
Master's,Computer Science,"MS Office, Counseling",CFA Level 1,90,Financial Analyst
PhD,Business,"Machine Learning, Financial Analysis, MS Office",Digital Marketing,68,Professor
Master's,Finance,"Python, Counseling",AWS Certified,79,Junior Accountant
Intermediate,Science,"Communication, Counseling, Marketing",Mental Health Basics,94,Data Entry Operator
Bachelor's,Computer Science,"Counseling, Data Analysis",Mental Health Basics,61,Marketing Executive
Intermediate,Finance,Python,Tally ERP,63,Data Entry Operator
Matric,Business,Accounting,CFA Level 1,71,Clerk
Matric,Business,"Counseling, Communication, Financial Analysis",Creative Writing,83,ML Engineer
PhD,Psychology,"Financial Analysis, Data Analysis",Tally ERP,88,Business Analyst
Bachelor's,Finance,MS Office,AWS Certified,67,Professor
Master's,Science,"Machine Learning, Python",Tally ERP,60,ML Engineer
PhD,Psychology,Financial Analysis,Digital Marketing,72,Professor
Bachelor's,Psychology,"SQL, Counseling, MS Office",CFA Level 1,90,Clerk
Bachelor's,Finance,"Python, Accounting, Communication",CFA Level 1,93,Research Scientist
Matric,Psychology,"Counseling, Communication, Financial Analysis",Mental Health Basics,81,Business Analyst
Matric,Psychology,"Data Analysis, Marketing, Python",Tally ERP,73,Data Entry Operator
Master's,Finance,Data Analysis,Tally ERP,82,Junior Accountant
Master's,Arts,"Accounting, Financial Analysis, SQL",Tally ERP,62,Research Scientist
Intermediate,Finance,"Marketing, Communication, Data Analysis",Digital Marketing,67,Data Entry Operator
Matric,Computer Science,"Counseling, Marketing",None,95,Software Engineer
Intermediate,Computer Science,"Counseling, SQL, Python",AWS Certified,86,Clerk
Master's,Arts,"Accounting, Python",Creative Writing,86,Clerk
Master's,Science,"Communication, Data Analysis",AWS Certified,85,School Counselor
Bachelor's,Psychology,"SQL, Data Analysis",Google Data Analytics,73,ML Engineer
Bachelor's,Commerce,Data Analysis,Tally ERP,66,Sales Assistant
Bachelor's,Engineering,"Accounting, MS Office",AWS Certified,80,School Counselor
Master's,Arts,SQL,None,87,Data Entry Operator
Bachelor's,Computer Science,"Counseling, Marketing",Mental Health Basics,84,Professor
Bachelor's,Science,"Counseling, Marketing",Tally ERP,88,Research Scientist
Bachelor's,Computer Science,"Accounting, Communication, MS Office",AWS Certified,72,Junior Accountant
Master's,Commerce,"Financial Analysis, Python",Tally ERP,81,Professor
Bachelor's,Computer Science,Machine Learning,Creative Writing,87,Business Analyst
Master's,Science,"Python, Counseling, MS Office",AWS Certified,65,Sales Assistant
Intermediate,Computer Science,"Marketing, MS Office",Tally ERP,75,School Counselor
Intermediate,Science,"SQL, Machine Learning",Google Data Analytics,69,Data Entry Operator
Bachelor's,Computer Science,"MS Office, Financial Analysis",Creative Writing,92,Software Engineer
Master's,Business,"Machine Learning, Data Analysis",Creative Writing,66,School Counselor
Matric,Finance,"Communication, Marketing, SQL",Digital Marketing,81,Sales Assistant
Bachelor's,Engineering,"Counseling, Machine Learning",Creative Writing,93,School Counselor
Matric,Arts,"Accounting, Counseling",Digital Marketing,66,Software Engineer
Intermediate,Computer Science,"Data Analysis, Counseling",Tally ERP,84,Data Entry Operator
Intermediate,Computer Science,"Machine Learning, Counseling, MS Office",Creative Writing,86,Software Engineer
Intermediate,Arts,Python,Mental Health Basics,86,Clerk
Matric,Arts,"Data Analysis, MS Office, Counseling",CFA Level 1,71,Research Scientist
Matric,Science,"Communication, Marketing",Tally ERP,60,Software Engineer
Intermediate,Commerce,"Communication, Python",Google Data Analytics,70,School Counselor
Intermediate,Psychology,"Counseling, MS Office, Financial Analysis",Google Data Analytics,90,Marketing Executive
Intermediate,Finance,"SQL, Counseling, Machine Learning",Tally ERP,62,School Counselor
Master's,Arts,"Counseling, SQL",None,82,Data Entry Operator
Bachelor's,Commerce,"Counseling, Data Analysis, Marketing",Creative Writing,79,Business Analyst
Matric,Finance,Python,Mental Health Basics,72,Software Engineer
PhD,Engineering,"Communication, Financial Analysis, Python",CFA Level 1,80,Marketing Executive
PhD,Science,Accounting,None,61,Financial Analyst
Master's,Commerce,"SQL, Financial Analysis, Python",CFA Level 1,75,Business Analyst
Intermediate,Science,"Communication, Data Analysis, Marketing",Google Data Analytics,61,Sales Assistant
Master's,Engineering,"Accounting, Financial Analysis",Mental Health Basics,78,Financial Analyst
Master's,Business,"Financial Analysis, Counseling, SQL",Tally ERP,93,Business Analyst
Bachelor's,Science,"Python, Counseling",AWS Certified,83,Sales Assistant
Bachelor's,Psychology,"Communication, Counseling, Accounting",None,76,Data Entry Operator
Bachelor's,Business,"Accounting, MS Office, Marketing",AWS Certified,64,Junior Accountant
Matric,Finance,"SQL, Counseling, Python",CFA Level 1,85,Sales Assistant
Matric,Finance,Communication,Google Data Analytics,79,Software Engineer
PhD,Computer Science,"Data Analysis, Counseling",CFA Level 1,77,Marketing Executive
Bachelor's,Finance,Counseling,CFA Level 1,60,Professor
Master's,Arts,"Accounting, Financial Analysis, MS Office",CFA Level 1,82,ML Engineer
Master's,Engineering,Marketing,Google Data Analytics,81,Professor
PhD,Arts,"MS Office, Accounting",AWS Certified,83,Data Entry Operator
Matric,Arts,"Python, Marketing",Digital Marketing,82,Business Analyst
Master's,Engineering,SQL,Creative Writing,66,Financial Analyst
Bachelor's,Finance,"MS Office, Communication, Machine Learning",Creative Writing,61,Financial Analyst
Master's,Engineering,"Counseling, Data Analysis, Machine Learning",Creative Writing,60,Clerk
Bachelor's,Arts,"Accounting, Financial Analysis",None,78,Professor
Master's,Arts,"MS Office, Machine Learning",Creative Writing,79,Clerk
PhD,Business,"Data Analysis, Accounting",Digital Marketing,67,Financial Analyst
Matric,Business,"Python, MS Office, Machine Learning",None,95,Junior Accountant
Master's,Computer Science,Communication,CFA Level 1,76,Professor
Intermediate,Engineering,"Accounting, Machine Learning, Financial Analysis",CFA Level 1,95,Clerk
PhD,Commerce,"Accounting, Financial Analysis, Marketing",Google Data Analytics,69,ML Engineer
Bachelor's,Engineering,Accounting,None,73,Data Entry Operator
PhD,Psychology,"Counseling, Python",CFA Level 1,69,Clerk
Matric,Finance,Machine Learning,Mental Health Basics,84,Sales Assistant
Bachelor's,Arts,"Data Analysis, Communication",CFA Level 1,85,Professor
Intermediate,Arts,"Accounting, Counseling, SQL",Google Data Analytics,75,Business Analyst
PhD,Psychology,"Machine Learning, Accounting, Financial Analysis",Creative Writing,83,Clerk
Bachelor's,Arts,"MS Office, Data Analysis",Mental Health Basics,94,School Counselor
Matric,Science,"Counseling, SQL",AWS Certified,84,Research Scientist
Intermediate,Business,Machine Learning,None,68,Clerk
PhD,Commerce,"Communication, MS Office, Accounting",None,71,School Counselor
Intermediate,Finance,"Python, Data Analysis, SQL",Google Data Analytics,64,Research Scientist
Intermediate,Science,Communication,Google Data Analytics,70,Marketing Executive
Bachelor's,Science,"Communication, Data Analysis, Accounting",Creative Writing,85,Software Engineer
Intermediate,Engineering,Marketing,None,65,School Counselor
Matric,Commerce,"Data Analysis, Financial Analysis",CFA Level 1,95,Professor
Intermediate,Psychology,SQL,Digital Marketing,76,Clerk
Bachelor's,Arts,"Python, Data Analysis",Google Data Analytics,70,Research Scientist
Master's,Engineering,"MS Office, Python, Financial Analysis",None,74,Research Scientist
Matric,Arts,"Financial Analysis, Data Analysis, Marketing",AWS Certified,84,Sales Assistant
Matric,Psychology,"Accounting, Data Analysis",Mental Health Basics,88,Research Scientist
PhD,Computer Science,Communication,None,73,Professor
Matric,Finance,Data Analysis,Mental Health Basics,83,ML Engineer
Bachelor's,Engineering,Accounting,Digital Marketing,62,ML Engineer
Bachelor's,Computer Science,"Python, Communication, Financial Analysis",AWS Certified,83,Software Engineer
PhD,Arts,Marketing,None,91,Sales Assistant
Bachelor's,Commerce,"SQL, Machine Learning",CFA Level 1,89,Financial Analyst
Matric,Commerce,Accounting,Google Data Analytics,68,Financial Analyst
Bachelor's,Commerce,"MS Office, Accounting, SQL",Mental Health Basics,71,Professor
Master's,Finance,"Accounting, Financial Analysis, SQL",Creative Writing,61,ML Engineer
Master's,Business,Communication,Digital Marketing,74,Financial Analyst
Matric,Arts,"Machine Learning, Marketing, Python",AWS Certified,79,Software Engineer
Bachelor's,Engineering,Marketing,None,72,Software Engineer
Matric,Science,Accounting,Tally ERP,91,Clerk
Bachelor's,Science,"Communication, Machine Learning, Counseling",None,95,ML Engineer
Master's,Computer Science,Marketing,Mental Health Basics,82,Business Analyst
PhD,Engineering,"SQL, Communication, Financial Analysis",AWS Certified,77,Financial Analyst
Master's,Science,"Financial Analysis, Counseling, Python",Google Data Analytics,86,Business Analyst
Matric,Commerce,"Accounting, Counseling, Marketing",Digital Marketing,77,ML Engineer
Bachelor's,Science,"Financial Analysis, SQL",AWS Certified,80,Financial Analyst
Master's,Arts,Communication,None,72,Research Scientist
Matric,Psychology,Counseling,Mental Health Basics,67,School Counselor
Intermediate,Science,"Machine Learning, Marketing, Communication",AWS Certified,68,School Counselor
Matric,Engineering,"Python, Accounting, SQL",CFA Level 1,93,Marketing Executive
Bachelor's,Commerce,"Counseling, Communication, Marketing",Tally ERP,88,Clerk
Bachelor's,Engineering,Counseling,None,83,Clerk
PhD,Science,"Financial Analysis, Marketing",Google Data Analytics,91,Financial Analyst
Master's,Science,"SQL, Financial Analysis",Mental Health Basics,79,ML Engineer
Intermediate,Arts,Accounting,None,79,ML Engineer
Bachelor's,Business,"Data Analysis, MS Office, Accounting",AWS Certified,61,Professor
PhD,Arts,MS Office,CFA Level 1,93,Marketing Executive
Master's,Commerce,Marketing,Google Data Analytics,88,Professor
Master's,Psychology,"Marketing, MS Office, SQL",None,72,ML Engineer
Intermediate,Commerce,Machine Learning,Tally ERP,77,School Counselor
Matric,Computer Science,Marketing,Google Data Analytics,66,Professor
Master's,Psychology,"Machine Learning, Data Analysis, Python",Digital Marketing,93,School Counselor
Bachelor's,Computer Science,Marketing,Google Data Analytics,70,Sales Assistant
Intermediate,Engineering,Data Analysis,CFA Level 1,68,Clerk
Master's,Finance,"Data Analysis, SQL, MS Office",Digital Marketing,64,Professor
Master's,Business,"Machine Learning, MS Office, Marketing",Google Data Analytics,94,Marketing Executive
Matric,Arts,"Accounting, Communication",Digital Marketing,90,Professor
Matric,Psychology,"Python, Counseling, MS Office",CFA Level 1,66,Junior Accountant
Master's,Engineering,"Python, Marketing",Creative Writing,60,Software Engineer
Bachelor's,Commerce,"Data Analysis, Financial Analysis",Digital Marketing,66,Business Analyst
PhD,Commerce,"MS Office, Communication",Google Data Analytics,76,Research Scientist
PhD,Engineering,"Python, Financial Analysis, Machine Learning",Mental Health Basics,80,ML Engineer
Matric,Business,"Accounting, Machine Learning, MS Office",CFA Level 1,90,Financial Analyst
Intermediate,Arts,"Machine Learning, SQL, Accounting",Creative Writing,81,Software Engineer
Intermediate,Engineering,SQL,Creative Writing,73,Marketing Executive
Master's,Finance,"Python, Accounting, Marketing",Mental Health Basics,76,Software Engineer
Matric,Finance,"MS Office, Communication, Financial Analysis",Digital Marketing,78,Research Scientist
Intermediate,Business,Accounting,Digital Marketing,65,Junior Accountant
Master's,Arts,"Accounting, Data Analysis, Financial Analysis",Mental Health Basics,86,Professor
Matric,Arts,"Data Analysis, Machine Learning",Google Data Analytics,89,Financial Analyst
Matric,Business,"Communication, Machine Learning, Accounting",AWS Certified,71,ML Engineer
Intermediate,Arts,"Machine Learning, Python, SQL",Mental Health Basics,70,Marketing Executive
Intermediate,Engineering,"Data Analysis, MS Office",Google Data Analytics,79,ML Engineer
Master's,Commerce,"Data Analysis, Accounting",Mental Health Basics,73,Financial Analyst
Bachelor's,Business,Accounting,Digital Marketing,72,Professor
Matric,Psychology,"Marketing, Financial Analysis",Creative Writing,65,Junior Accountant
Bachelor's,Business,Python,CFA Level 1,86,Business Analyst
Bachelor's,Commerce,"Python, Counseling",None,89,Sales Assistant
Matric,Engineering,MS Office,AWS Certified,84,ML Engineer
PhD,Business,"Python, Data Analysis",Creative Writing,67,School Counselor
Intermediate,Business,"Counseling, SQL",Digital Marketing,92,Research Scientist
Intermediate,Arts,"Python, Data Analysis",Mental Health Basics,90,Financial Analyst
Intermediate,Computer Science,"Financial Analysis, Counseling, Data Analysis",Digital Marketing,81,School Counselor
Intermediate,Finance,SQL,Creative Writing,66,Data Entry Operator
PhD,Psychology,Machine Learning,None,64,Data Entry Operator
Bachelor's,Finance,"Accounting, Machine Learning",Mental Health Basics,92,Marketing Executive
Matric,Engineering,"Data Analysis, SQL",CFA Level 1,79,Data Entry Operator
Intermediate,Commerce,"Counseling, Financial Analysis, Accounting",CFA Level 1,64,Business Analyst
Master's,Finance,"Accounting, Communication, MS Office",None,88,School Counselor
Matric,Commerce,Accounting,Digital Marketing,78,Software Engineer
PhD,Arts,"Machine Learning, Accounting",Digital Marketing,92,Sales Assistant
Bachelor's,Finance,MS Office,Creative Writing,85,Marketing Executive
PhD,Arts,"SQL, Data Analysis",None,73,School Counselor
Intermediate,Computer Science,Marketing,None,87,School Counselor
Intermediate,Psychology,"Marketing, Data Analysis, Machine Learning",Tally ERP,88,Junior Accountant
Matric,Computer Science,"MS Office, Data Analysis, Financial Analysis",AWS Certified,88,Software Engineer
Matric,Science,"MS Office, Marketing, Machine Learning",Digital Marketing,75,Professor
Intermediate,Commerce,Marketing,AWS Certified,83,Software Engineer
Matric,Psychology,"Counseling, MS Office, Accounting",Creative Writing,89,Software Engineer
Bachelor's,Psychology,"Financial Analysis, Python, Communication",Google Data Analytics,61,Sales Assistant
PhD,Finance,MS Office,Creative Writing,80,Junior Accountant
Bachelor's,Business,"MS Office, Machine Learning",Tally ERP,71,Data Entry Operator
PhD,Engineering,"Python, Data Analysis",Google Data Analytics,88,Software Engineer
Master's,Arts,"Python, SQL",Creative Writing,76,ML Engineer
Matric,Psychology,"Machine Learning, Marketing, Data Analysis",Mental Health Basics,90,Software Engineer
PhD,Psychology,"Communication, Marketing",Google Data Analytics,70,Clerk
PhD,Arts,MS Office,Mental Health Basics,82,Clerk
Master's,Engineering,Machine Learning,None,70,ML Engineer
Bachelor's,Commerce,"Financial Analysis, Communication, MS Office",Mental Health Basics,63,ML Engineer
Matric,Engineering,"Financial Analysis, Machine Learning",Mental Health Basics,74,Software Engineer
PhD,Science,"Communication, Python",Tally ERP,69,Junior Accountant
Matric,Science,"SQL, Data Analysis",Digital Marketing,89,Junior Accountant
Matric,Computer Science,Python,Tally ERP,87,ML Engineer
PhD,Engineering,"Communication, Data Analysis, Financial Analysis",Tally ERP,88,Business Analyst
Intermediate,Commerce,"Marketing, Accounting",Tally ERP,77,ML Engineer
Bachelor's,Engineering,"SQL, Data Analysis, Counseling",Google Data Analytics,92,Data Entry Operator
Matric,Business,"Communication, Data Analysis, Accounting",None,69,Marketing Executive
Intermediate,Arts,"MS Office, Python, Counseling",Creative Writing,76,Business Analyst
Master's,Business,SQL,Tally ERP,61,Data Entry Operator
Bachelor's,Commerce,"Financial Analysis, SQL",CFA Level 1,79,Junior Accountant
Intermediate,Computer Science,Python,CFA Level 1,71,Business Analyst
Bachelor's,Business,Communication,Mental Health Basics,73,ML Engineer
Master's,Business,Counseling,None,73,Software Engineer
Intermediate,Engineering,"Python, SQL",Tally ERP,71,Clerk
Matric,Psychology,"Python, Machine Learning, Marketing",Google Data Analytics,67,Financial Analyst
Matric,Arts,"Financial Analysis, SQL",Google Data Analytics,60,Marketing Executive
Bachelor's,Science,"Accounting, Marketing, Python",Mental Health Basics,72,Marketing Executive
PhD,Engineering,"SQL, Python, Machine Learning",Tally ERP,77,Marketing Executive
Intermediate,Arts,Communication,None,78,ML Engineer
Bachelor's,Psychology,Accounting,Creative Writing,61,Financial Analyst
Master's,Arts,"Marketing, Data Analysis",None,63,Financial Analyst
Intermediate,Psychology,"Accounting, Machine Learning, MS Office",Digital Marketing,64,Marketing Executive
PhD,Arts,SQL,Creative Writing,63,School Counselor
PhD,Finance,"Machine Learning, SQL, MS Office",AWS Certified,73,School Counselor
Matric,Psychology,"Counseling, Machine Learning, Communication",Tally ERP,86,Clerk
PhD,Engineering,"Machine Learning, Communication",Mental Health Basics,60,Sales Assistant
Bachelor's,Arts,MS Office,AWS Certified,95,Junior Accountant
PhD,Commerce,Accounting,Google Data Analytics,70,Sales Assistant
PhD,Arts,Accounting,Tally ERP,81,Research Scientist
Matric,Commerce,Data Analysis,CFA Level 1,66,Software Engineer
Bachelor's,Engineering,"MS Office, Counseling",None,67,ML Engineer
Matric,Science,"MS Office, Marketing",Google Data Analytics,68,Software Engineer
Matric,Science,"Data Analysis, Communication, Counseling",CFA Level 1,76,Professor
Bachelor's,Finance,"Financial Analysis, Machine Learning",Creative Writing,94,Business Analyst
PhD,Computer Science,SQL,None,76,Research Scientist
Matric,Science,"Machine Learning, Python, MS Office",Creative Writing,67,Marketing Executive
Intermediate,Psychology,"Counseling, Communication, Accounting",CFA Level 1,67,Data Entry Operator
Bachelor's,Finance,"Python, Financial Analysis",Digital Marketing,72,Sales Assistant
Bachelor's,Science,Communication,Tally ERP,76,School Counselor
PhD,Business,"Financial Analysis, Data Analysis",AWS Certified,94,ML Engineer
Intermediate,Business,"MS Office, Python, Marketing",Mental Health Basics,75,Business Analyst
PhD,Science,Financial Analysis,Mental Health Basics,73,Research Scientist
Master's,Business,"Data Analysis, MS Office",CFA Level 1,82,Business Analyst
Matric,Finance,"SQL, Data Analysis, Python",Google Data Analytics,81,Data Entry Operator
Bachelor's,Computer Science,"MS Office, Communication",Mental Health Basics,85,Professor
Matric,Arts,Machine Learning,Creative Writing,89,Sales Assistant
Bachelor's,Science,"Python, Accounting",AWS Certified,79,Professor
Intermediate,Arts,"Marketing, SQL, Financial Analysis",Creative Writing,93,Research Scientist
Master's,Arts,Communication,Creative Writing,85,ML Engineer
Intermediate,Engineering,MS Office,CFA Level 1,69,Data Entry Operator
Intermediate,Engineering,"Python, SQL, Data Analysis",None,89,Marketing Executive
Intermediate,Engineering,"SQL, Marketing",Digital Marketing,62,Data Entry Operator
PhD,Arts,"Communication, Marketing, MS Office",Tally ERP,83,School Counselor
PhD,Engineering,"SQL, Communication",Mental Health Basics,83,Financial Analyst
Intermediate,Arts,Financial Analysis,Google Data Analytics,67,Business Analyst
PhD,Engineering,SQL,Tally ERP,74,Junior Accountant
Bachelor's,Commerce,Data Analysis,AWS Certified,64,Research Scientist
Matric,Science,"Python, Data Analysis",AWS Certified,73,Software Engineer
PhD,Psychology,"SQL, Data Analysis",Digital Marketing,87,Sales Assistant
Master's,Computer Science,Python,None,90,Data Entry Operator
Bachelor's,Engineering,Machine Learning,Creative Writing,75,ML Engineer
Bachelor's,Arts,"Machine Learning, Data Analysis, SQL",CFA Level 1,87,Software Engineer
Matric,Commerce,Counseling,Tally ERP,67,Professor
Bachelor's,Psychology,Communication,Google Data Analytics,90,Data Entry Operator
Intermediate,Arts,"MS Office, Accounting, SQL",Google Data Analytics,90,Financial Analyst
PhD,Engineering,"Data Analysis, MS Office, Marketing",Mental Health Basics,63,Data Entry Operator
Bachelor's,Business,"Counseling, SQL, Python",Google Data Analytics,75,School Counselor
Master's,Business,"Machine Learning, SQL",CFA Level 1,70,Software Engineer
PhD,Finance,"Python, SQL",None,73,Professor
PhD,Psychology,"Python, Machine Learning",Mental Health Basics,81,Business Analyst
Intermediate,Engineering,Machine Learning,Google Data Analytics,78,Junior Accountant
PhD,Psychology,Financial Analysis,None,88,Marketing Executive
Matric,Engineering,"Data Analysis, Financial Analysis",Digital Marketing,87,Marketing Executive
Intermediate,Computer Science,"Accounting, MS Office, SQL",None,68,Professor
Bachelor's,Business,"Data Analysis, MS Office",CFA Level 1,86,Junior Accountant
PhD,Psychology,Data Analysis,Google Data Analytics,60,Professor
Bachelor's,Arts,"Marketing, Machine Learning, Communication",CFA Level 1,66,Software Engineer
Master's,Science,SQL,CFA Level 1,86,Software Engineer
Intermediate,Arts,"Financial Analysis, Python, Communication",Digital Marketing,85,Professor
Master's,Science,"Accounting, Counseling, Communication",None,76,Business Analyst
Matric,Business,"Marketing, Financial Analysis, Counseling",Mental Health Basics,91,Sales Assistant
Master's,Business,"MS Office, Python, Marketing",None,90,ML Engineer
Bachelor's,Arts,Counseling,None,71,Software Engineer
Matric,Business,Python,None,62,Financial Analyst
Master's,Computer Science,"Marketing, Financial Analysis",AWS Certified,60,Research Scientist
Intermediate,Computer Science,Accounting,Digital Marketing,83,Research Scientist
PhD,Psychology,Accounting,Digital Marketing,82,Junior Accountant
Bachelor's,Arts,"Counseling, Marketing",Tally ERP,92,Marketing Executive
Bachelor's,Computer Science,Python,Tally ERP,94,Data Entry Operator
Intermediate,Science,Marketing,Creative Writing,94,Research Scientist
Matric,Psychology,"Counseling, Accounting, Machine Learning",Tally ERP,82,Junior Accountant
Intermediate,Finance,"Data Analysis, Marketing, Machine Learning",Creative Writing,90,Professor
Intermediate,Computer Science,"Machine Learning, Communication",Google Data Analytics,73,ML Engineer
Bachelor's,Arts,"Counseling, Marketing, Financial Analysis",AWS Certified,73,Financial Analyst
Master's,Commerce,"Financial Analysis, Data Analysis",Mental Health Basics,72,Business Analyst
Bachelor's,Psychology,Marketing,Google Data Analytics,80,Research Scientist
Intermediate,Arts,Financial Analysis,Google Data Analytics,93,Financial Analyst
Bachelor's,Arts,"SQL, Machine Learning, Financial Analysis",Mental Health Basics,61,Clerk
Bachelor's,Engineering,"Data Analysis, MS Office",AWS Certified,76,Software Engineer
Intermediate,Psychology,"Data Analysis, Marketing",Tally ERP,70,Marketing Executive
PhD,Arts,"Counseling, Accounting, SQL",None,91,School Counselor
Intermediate,Finance,"Machine Learning, Communication",Digital Marketing,76,Financial Analyst
Master's,Psychology,"Accounting, Financial Analysis",None,70,Research Scientist
PhD,Arts,Python,Google Data Analytics,72,School Counselor
PhD,Psychology,Machine Learning,Creative Writing,90,Junior Accountant
Bachelor's,Commerce,"Data Analysis, Communication, SQL",Tally ERP,92,ML Engineer
Matric,Finance,"MS Office, Python",None,73,Software Engineer
PhD,Computer Science,"Communication, Marketing, Python",Creative Writing,76,Software Engineer
Master's,Science,"Communication, MS Office, Financial Analysis",AWS Certified,95,Financial Analyst
PhD,Finance,Python,None,63,Software Engineer
Matric,Business,"Python, Financial Analysis, SQL",Mental Health Basics,85,Junior Accountant
Master's,Business,"SQL, Marketing",AWS Certified,67,Sales Assistant
PhD,Computer Science,MS Office,Mental Health Basics,80,ML Engineer
PhD,Finance,"MS Office, Machine Learning",Google Data Analytics,77,Professor
Matric,Finance,Python,Creative Writing,79,Marketing Executive
PhD,Psychology,"SQL, Data Analysis, Counseling",Mental Health Basics,67,Sales Assistant
Intermediate,Commerce,"Marketing, MS Office, Financial Analysis",None,93,Professor
